1. 答案1:  36'5/42
2481. 答案2481:  113
2482. 答案2482:  70'38/53
2483. 答案2483:  2'182/225
2484. 答案2484:  1'17/37
2485. 答案2485:  1'127/340
2486. 答案2486:  3'7/16
2487. 答案2487:  238178'115/136
2488. 答案2488:  1381'35/351
2489. 答案2489:  175
2490. 答案2490:  131
2491. 答案2491:  5'813/854
2492. 答案2492:  2582'160/391
2493. 答案2493:  1749'1563/2755
2494. 答案2494:  28'26/41
2495. 答案2495:  3636
2496. 答案2496:  28
2497. 答案2497:  52'1307/1519
2498. 答案2498:  105'7971/16352
2499. 答案2499:  1435'58/105
2500. 答案2500:  21/940
2501. 答案2501:  251'22/51
2502. 答案2502:  3776/5801
2503. 答案2503:  2537/5994
2504. 答案2504:  134'475/504
2505. 答案2505:  63/628
2506. 答案2506:  83'31/33
2507. 答案2507:  73
2508. 答案2508:  70'13/41
2509. 答案2509:  393'3/25
2510. 答案2510:  1'351/500
2511. 答案2511:  50'28/59
2512. 答案2512:  60'161/165
2513. 答案2513:  8'3795/6586
2514. 答案2514:  34'547/920
2515. 答案2515:  876'6/7
2516. 答案2516:  858/1241
2517. 答案2517:  68'1/8
2518. 答案2518:  86'7/8
2519. 答案2519:  6895'2/21
2520. 答案2520:  67'18617/27789
2521. 答案2521:  35'3/5
2522. 答案2522:  84'1693/1760
2523. 答案2523:  275'5/14
2524. 答案2524:  929'212/217
2525. 答案2525:  12'93/182
2526. 答案2526:  226'4433/4500
2527. 答案2527:  7'1/3
2528. 答案2528:  141'51/217
2529. 答案2529:  40'43/80
2530. 答案2530:  364'1/4
2531. 答案2531:  65/3248
2532. 答案2532:  3239'36821/37033
2533. 答案2533:  4275
2534. 答案2534:  1'16636/24309
2535. 答案2535:  235'244/581
2536. 答案2536:  11'2/297
2537. 答案2537:  12'42/97
2538. 答案2538:  4616'23/40
2539. 答案2539:  46/595
2540. 答案2540:  80'201/356
2541. 答案2541:  12320'25/49
2542. 答案2542:  4'6/19
2543. 答案2543:  7'2119/2738
2544. 答案2544:  78'83/116
2545. 答案2545:  2'19/36
2546. 答案2546:  16'5783296/7076295
2547. 答案2547:  28
2548. 答案2548:  52/177
2549. 答案2549:  157'1429/3000
2550. 答案2550:  11'2/11
2551. 答案2551:  76'48/247
2552. 答案2552:  2'507/1325
2553. 答案2553:  96'2189/2520
2554. 答案2554:  165'199265/358848
2555. 答案2555:  79'7/18
2556. 答案2556:  1'3/44
2557. 答案2557:  872'3/4
2558. 答案2558:  99'28/79
2559. 答案2559:  66'32/2295
2560. 答案2560:  4'16/17
2561. 答案2561:  10'22/37
2562. 答案2562:  118349/877848
2563. 答案2563:  1088'9/11
2564. 答案2564:  517/65649
2565. 答案2565:  17'14/27
2566. 答案2566:  927'1151/1540
2567. 答案2567:  48'23/45
2568. 答案2568:  59'6/25
2569. 答案2569:  53'1582827/5903548
2570. 答案2570:  58
2571. 答案2571:  2374067/2755469
2572. 答案2572:  65/722
2573. 答案2573:  144'22/127
2574. 答案2574:  917'19/37
2575. 答案2575:  172
2576. 答案2576:  70'13/18
2577. 答案2577:  669'11/16
2578. 答案2578:  90'66/575
2579. 答案2579:  6881'125/341
2580. 答案2580:  6119'13/16
2581. 答案2581:  67'3440/3551
2582. 答案2582:  81'5/6
2583. 答案2583:  379/714
2584. 答案2584:  151/265
2585. 答案2585:  91'64/207
2586. 答案2586:  50/93
2587. 答案2587:  134'49/94
2588. 答案2588:  63'17/65
2589. 答案2589:  45'1/82
2590. 答案2590:  102'25014/52487
2591. 答案2591:  0
2592. 答案2592:  76'8/13
2593. 答案2593:  217'26/29
2594. 答案2594:  62'4733/5360
2595. 答案2595:  2415'35/66
2596. 答案2596:  52'12/25
2597. 答案2597:  65'5/1767
2598. 答案2598:  88
2599. 答案2599:  90'4/57
2600. 答案2600:  3'83/94
2601. 答案2601:  6198
2602. 答案2602:  50'91/172
2603. 答案2603:  5
2604. 答案2604:  1'136/193
2605. 答案2605:  50'79/184
2606. 答案2606:  7'31871/71145
2607. 答案2607:  13'63/71
2608. 答案2608:  26'57/94
2609. 答案2609:  140'20441/25899
2610. 答案2610:  4'8/31
2611. 答案2611:  56'22/43
2612. 答案2612:  90'22279/25632
2613. 答案2613:  74'41/50
2614. 答案2614:  143'11/18
2615. 答案2615:  51'277/1020
2616. 答案2616:  114'27/49
2617. 答案2617:  126'41/51
2618. 答案2618:  74'14/27
2619. 答案2619:  315'184961/608275
2620. 答案2620:  151'80/99
2621. 答案2621:  1654'104/123
2622. 答案2622:  1903
2623. 答案2623:  1'477439/913025
2624. 答案2624:  20'1304/1643
2625. 答案2625:  32/43
2626. 答案2626:  8
2627. 答案2627:  871'11/19
2628. 答案2628:  91/5184
2629. 答案2629:  51'164/291
2630. 答案2630:  27'179/2300
2631. 答案2631:  10591/13250
2632. 答案2632:  130'4/27
2633. 答案2633:  1'1079/2296
2634. 答案2634:  83'1301/2981
2635. 答案2635:  54/61
2636. 答案2636:  99'17/21
2637. 答案2637:  57'12687/14288
2638. 答案2638:  28'12007/75078
2639. 答案2639:  2621'453/871
2640. 答案2640:  14'7439/7791
2641. 答案2641:  64'19/28
2642. 答案2642:  139'2/7
2643. 答案2643:  45'7/15
2644. 答案2644:  423'19/77
2645. 答案2645:  71'111/235
2646. 答案2646:  5'59/68
2647. 答案2647:  264'10/11
2648. 答案2648:  86'3/8
2649. 答案2649:  5'19/110
2650. 答案2650:  58'1643/4265
2651. 答案2651:  14'29/30
2652. 答案2652:  845'155/551
2653. 答案2653:  26'1827/12220
2654. 答案2654:  107'1269/1480
2655. 答案2655:  43'3/49
2656. 答案2656:  88'30043/65160
2657. 答案2657:  96
2658. 答案2658:  18
2659. 答案2659:  29'35/76
2660. 答案2660:  66'621357/1269853
2661. 答案2661:  67'8/9
2662. 答案2662:  2'116/337
2663. 答案2663:  161'1168/2695
2664. 答案2664:  21'63/67
2665. 答案2665:  2688/3591653
2666. 答案2666:  168'101/133
2667. 答案2667:  19'4/29
2668. 答案2668:  78'47/116
2669. 答案2669:  214'75/89
2670. 答案2670:  320'208/1845
2671. 答案2671:  108'17/94
2672. 答案2672:  84'5477/13705
2673. 答案2673:  56'20/57
2674. 答案2674:  137'57/61
2675. 答案2675:  259794'860/23541
2676. 答案2676:  86'42/125
2677. 答案2677:  45'49/66
2678. 答案2678:  105'14/29
2679. 答案2679:  42'13/23
2680. 答案2680:  20'1/2
2681. 答案2681:  1393'35/93
2682. 答案2682:  70'1/2
2683. 答案2683:  1
2684. 答案2684:  64'10/77
2685. 答案2685:  882/2099
2686. 答案2686:  22'22/49
2687. 答案2687:  35'7/25
2688. 答案2688:  94'29/42
2689. 答案2689:  53'273/484
2690. 答案2690:  2800/5357
2691. 答案2691:  316'1746/11029
2692. 答案2692:  1'523/533
2693. 答案2693:  173
2694. 答案2694:  137'1787/6363
2695. 答案2695:  426
2696. 答案2696:  54'2/41
2697. 答案2697:  1'1633/1716
2698. 答案2698:  1591'1/3
2699. 答案2699:  44'4/45
2700. 答案2700:  124
2701. 答案2701:  1'397/861
2702. 答案2702:  24219'23/33
2703. 答案2703:  35'109/145
2704. 答案2704:  1427'29/89
2705. 答案2705:  2'16/31
2706. 答案2706:  1449/5821
2707. 答案2707:  22'34/53
2708. 答案2708:  27'9/20
2709. 答案2709:  3682'239/825
2710. 答案2710:  31'478/1833
2711. 答案2711:  528292'4/5
2712. 答案2712:  74'17/21
2713. 答案2713:  410'13/61
2714. 答案2714:  68/2457
2715. 答案2715:  3527'1819/4374
2716. 答案2716:  7968'1163/1230
2717. 答案2717:  336'10/11
2718. 答案2718:  31'9/11
2719. 答案2719:  53'1/25
2720. 答案2720:  31'1604/2409
2721. 答案2721:  29'221/336
2722. 答案2722:  139'42/61
2723. 答案2723:  230'1/8
2724. 答案2724:  151'50/123
2725. 答案2725:  222'13/22
2726. 答案2726:  174'8/23
2727. 答案2727:  2123'25/36
2728. 答案2728:  425'1/2
2729. 答案2729:  52'8045/8166
2730. 答案2730:  172/279
2731. 答案2731:  41495'1/7
2732. 答案2732:  81'149094/194063
2733. 答案2733:  574/627
2734. 答案2734:  4'1/45
2735. 答案2735:  15
2736. 答案2736:  70'23/29
2737. 答案2737:  61'5/38
2738. 答案2738:  3'571/2158
2739. 答案2739:  80
2740. 答案2740:  89'5/14
2741. 答案2741:  2'787896/1067531
2742. 答案2742:  80'2711/4260
2743. 答案2743:  71'1/50
2744. 答案2744:  54'30/31
2745. 答案2745:  121'13/40
2746. 答案2746:  1569'215/297
2747. 答案2747:  1'2/93
2748. 答案2748:  51'3/23
2749. 答案2749:  23'5003/42072
2750. 答案2750:  46657'1/2
2751. 答案2751:  1461005/11335488
2752. 答案2752:  121'59/84
2753. 答案2753:  43'8/325
2754. 答案2754:  6264/8471
2755. 答案2755:  68'13661/13857
2756. 答案2756:  122'2/17
2757. 答案2757:  2341'101/419
2758. 答案2758:  92'29/63
2759. 答案2759:  231'77/97
2760. 答案2760:  3494'17/42
2761. 答案2761:  81
2762. 答案2762:  45'1216/14911
2763. 答案2763:  2590'7/24
2764. 答案2764:  192874'47/51
2765. 答案2765:  15'32844/44525
2766. 答案2766:  11'35/41
2767. 答案2767:  2'395/774
2768. 答案2768:  49'8/29
2769. 答案2769:  5393'7/9
2770. 答案2770:  26'57331/128752
2771. 答案2771:  117
2772. 答案2772:  51'25/26
2773. 答案2773:  53'4/9
2774. 答案2774:  8'72/95
2775. 答案2775:  39933
2776. 答案2776:  7073'11/15
2777. 答案2777:  151
2778. 答案2778:  4240'21/92
2779. 答案2779:  114'36/77
2780. 答案2780:  109'1/10
2781. 答案2781:  23416044'24/235
2782. 答案2782:  48'73/160
2783. 答案2783:  930'61/70
2784. 答案2784:  105'9/46
2785. 答案2785:  93'8/45
2786. 答案2786:  1505'19/28
2787. 答案2787:  85176
2788. 答案2788:  6956'2/3
2789. 答案2789:  59'251/470
2790. 答案2790:  59'4/27
2791. 答案2791:  37'257/651
2792. 答案2792:  19'8717/34400
2793. 答案2793:  9'429/475
2794. 答案2794:  437/5460
2795. 答案2795:  1'6/17
2796. 答案2796:  191'4/9
2797. 答案2797:  7'12/13
2798. 答案2798:  2/61
2799. 答案2799:  179'220/623
2800. 答案2800:  38'2270/2357
2801. 答案2801:  3
2802. 答案2802:  7199
2803. 答案2803:  508096'2/7
2804. 答案2804:  68'77/190
2805. 答案2805:  52'5/14
2806. 答案2806:  58'23/42
2807. 答案2807:  2374
2808. 答案2808:  49'2/3
2809. 答案2809:  161'185/319
2810. 答案2810:  102'24/25
2811. 答案2811:  909'367/485
2812. 答案2812:  56'7/13
2813. 答案2813:  84'31/371
2814. 答案2814:  15
2815. 答案2815:  2'11/92
2816. 答案2816:  8'8504/20335
2817. 答案2817:  149'287/612
2818. 答案2818:  91'43/46
2819. 答案2819:  1'848/1107
2820. 答案2820:  49396'20/43
2821. 答案2821:  103'2/27
2822. 答案2822:  184'4/17
2823. 答案2823:  9'5/22
2824. 答案2824:  4453
2825. 答案2825:  36'523/2880
2826. 答案2826:  121'11/12
2827. 答案2827:  19'699/1178
2828. 答案2828:  654'124/129
2829. 答案2829:  1066'21/82
2830. 答案2830:  55'41/86
2831. 答案2831:  29'3/7
2832. 答案2832:  15960'491/1224
2833. 答案2833:  149
2834. 答案2834:  2790
2835. 答案2835:  7851
2836. 答案2836:  182'4/13
2837. 答案2837:  2735
2838. 答案2838:  38
2839. 答案2839:  2859'1/2
2840. 答案2840:  1427'11/32
2841. 答案2841:  142'2/35
2842. 答案2842:  268'2/3
2843. 答案2843:  4'52/81
2844. 答案2844:  3659
2845. 答案2845:  34'6/7
2846. 答案2846:  40'3359/12540
2847. 答案2847:  32
2848. 答案2848:  1642'209546/234987
2849. 答案2849:  0
2850. 答案2850:  39'1297/2665
2851. 答案2851:  1'4583/20634
2852. 答案2852:  53'9/52
2853. 答案2853:  106'31/32
2854. 答案2854:  86'14676/116831
2855. 答案2855:  34985'17/36
2856. 答案2856:  75'7/9
2857. 答案2857:  4'15973/24208
2858. 答案2858:  86'18/73
2859. 答案2859:  410
2860. 答案2860:  307'1/2
2861. 答案2861:  738'21/95
2862. 答案2862:  855/36166
2863. 答案2863:  3694'225015/341596
2864. 答案2864:  61'25/79
2865. 答案2865:  12
2866. 答案2866:  1972'2863/3760
2867. 答案2867:  148
2868. 答案2868:  95'12937/22400
2869. 答案2869:  11'3/187
2870. 答案2870:  1448'4/7
2871. 答案2871:  127'6021/36190
2872. 答案2872:  24/289
2873. 答案2873:  98'29/192
2874. 答案2874:  123
2875. 答案2875:  28
2876. 答案2876:  65'68/71
2877. 答案2877:  2850
2878. 答案2878:  12/1343
2879. 答案2879:  76'1195/1288
2880. 答案2880:  7'2353/4266
2881. 答案2881:  52'23/36
2882. 答案2882:  2536'4/5
2883. 答案2883:  660'4/13
2884. 答案2884:  48
2885. 答案2885:  14'5/6
2886. 答案2886:  148
2887. 答案2887:  91
2888. 答案2888:  364/445
2889. 答案2889:  2565/6548
2890. 答案2890:  2351'32/81
2891. 答案2891:  50'155/156
2892. 答案2892:  5'20/29
2893. 答案2893:  1665
2894. 答案2894:  1930'14/15
2895. 答案2895:  10469'1/4
2896. 答案2896:  64'9289/11840
2897. 答案2897:  32'17/29
2898. 答案2898:  21'4261/4386
2899. 答案2899:  90'19/20
2900. 答案2900:  112693'53/79
2901. 答案2901:  118'1/4
2902. 答案2902:  18360/63137
2903. 答案2903:  20'17/39
2904. 答案2904:  990/1049
2905. 答案2905:  2'179/359
2906. 答案2906:  60'49/57
2907. 答案2907:  105'23/55
2908. 答案2908:  245/2146
2909. 答案2909:  59'22/59
2910. 答案2910:  162'1207/1505
2911. 答案2911:  186'110/459
2912. 答案2912:  3965'2/11
2913. 答案2913:  134
2914. 答案2914:  2'21/22
2915. 答案2915:  87'79/88
2916. 答案2916:  55'5/8
2917. 答案2917:  72'80/89
2918. 答案2918:  471'5983/50055
2919. 答案2919:  127138'2/7
2920. 答案2920:  7'16/17
2921. 答案2921:  196'7/12
2922. 答案2922:  44'16/55
2923. 答案2923:  54'1/14
2924. 答案2924:  51'166/351
2925. 答案2925:  8146611/12013435
2926. 答案2926:  492'82/351
2927. 答案2927:  25'18/31
2928. 答案2928:  90'106/217
2929. 答案2929:  74
2930. 答案2930:  29'95/97
2931. 答案2931:  1'737/4123
2932. 答案2932:  313'29/91
2933. 答案2933:  57/92
2934. 答案2934:  302'2/9
2935. 答案2935:  78'17/80
2936. 答案2936:  62010
2937. 答案2937:  0
2938. 答案2938:  12'14507/15795
2939. 答案2939:  4'1/25
2940. 答案2940:  1'211/226
2941. 答案2941:  57'3/5
2942. 答案2942:  94'19239/25892
2943. 答案2943:  2158'3/32
2944. 答案2944:  91'59/2552
2945. 答案2945:  2'8/11
2946. 答案2946:  1'661/1175
2947. 答案2947:  36'3339/8648
2948. 答案2948:  78'41873/64032
2949. 答案2949:  18'1937/2021
2950. 答案2950:  82
2951. 答案2951:  2972'27/574
2952. 答案2952:  4244'16/17
2953. 答案2953:  71'495/10751
2954. 答案2954:  90'15443/15573
2955. 答案2955:  1311/16802
2956. 答案2956:  92'1/8
2957. 答案2957:  11
2958. 答案2958:  2'23/59
2959. 答案2959:  77'3/89
2960. 答案2960:  61'65/86
2961. 答案2961:  28'5/12
2962. 答案2962:  2'1/11
2963. 答案2963:  63'16/27
2964. 答案2964:  1183'1207/1580
2965. 答案2965:  211680/1143301
2966. 答案2966:  122'2/9
2967. 答案2967:  118'487/620
2968. 答案2968:  1410'33/46
2969. 答案2969:  32'137/324
2970. 答案2970:  36'1836/2657
2971. 答案2971:  85'176/315
2972. 答案2972:  1905
2973. 答案2973:  1121'28/39
2974. 答案2974:  63/1600
2975. 答案2975:  5'5/17
2976. 答案2976:  164'481/646
2977. 答案2977:  54'2/21
2978. 答案2978:  26'2/29
2979. 答案2979:  2300/2497
2980. 答案2980:  80'59911/104760
2981. 答案2981:  95
2982. 答案2982:  47'7/220
2983. 答案2983:  2943'61/90
2984. 答案2984:  2170
2985. 答案2985:  9582'16893/66196
2986. 答案2986:  966'43/448
2987. 答案2987:  17'155/261
2988. 答案2988:  80
2989. 答案2989:  497807'293/365
2990. 答案2990:  16'5/7
2991. 答案2991:  28'10/17
2992. 答案2992:  117'63/86
2993. 答案2993:  17'13/56
2994. 答案2994:  71'10081/47061
2995. 答案2995:  144
2996. 答案2996:  24'82/203
2997. 答案2997:  59'4224419/4352320
2998. 答案2998:  364'4/5
2999. 答案2999:  4538'1831/2640
3000. 答案3000:  17'2457/11902
3001. 答案3001:  39'24/25
3002. 答案3002:  128'23/425
3003. 答案3003:  25'64/83
3004. 答案3004:  1801'11/64
3005. 答案3005:  111660'579/850
3006. 答案3006:  15'92/97
3007. 答案3007:  4'148/267
3008. 答案3008:  41'29/79
3009. 答案3009:  7'95/1147
3010. 答案3010:  27'166/595
3011. 答案3011:  2'163/2135
3012. 答案3012:  3702'6/43
3013. 答案3013:  28'15/98
3014. 答案3014:  93'22/83
3015. 答案3015:  11680'8/25
3016. 答案3016:  1'175/276
3017. 答案3017:  37
3018. 答案3018:  23177/75210
3019. 答案3019:  11'2257/2262
3020. 答案3020:  182'81/95
3021. 答案3021:  9
3022. 答案3022:  2200
3023. 答案3023:  23'37/61
3024. 答案3024:  1'31/40
3025. 答案3025:  1'12/25
3026. 答案3026:  133'1153/1610
3027. 答案3027:  87'33/35
3028. 答案3028:  323/440
3029. 答案3029:  106'15/17
3030. 答案3030:  144'8/21
3031. 答案3031:  142
3032. 答案3032:  18545'9/31
3033. 答案3033:  439'5/11
3034. 答案3034:  13'1/6
3035. 答案3035:  6718'11/53
3036. 答案3036:  181'14/85
3037. 答案3037:  241'1/5
3038. 答案3038:  34
3039. 答案3039:  16
3040. 答案3040:  81'8/49
3041. 答案3041:  26'165/1088
3042. 答案3042:  44'97/162
3043. 答案3043:  11'1421/2231
3044. 答案3044:  2104'59/169
3045. 答案3045:  95'85/93
3046. 答案3046:  48389'1/4
3047. 答案3047:  420'2/5
3048. 答案3048:  96
3049. 答案3049:  448'304/765
3050. 答案3050:  94'2/11
3051. 答案3051:  26'2/7
3052. 答案3052:  4'10949/11400
3053. 答案3053:  2017'7/9
3054. 答案3054:  393234'6/53
3055. 答案3055:  65'1/13
3056. 答案3056:  2500'6/7
3057. 答案3057:  6'529523/600943447
3058. 答案3058:  30'12/17
3059. 答案3059:  2'42/79
3060. 答案3060:  2'5/84
3061. 答案3061:  1446'1082/2233
3062. 答案3062:  58'43/59
3063. 答案3063:  74'89/697
3064. 答案3064:  80'161/264
3065. 答案3065:  93'23/28
3066. 答案3066:  4428
3067. 答案3067:  44'80/81
3068. 答案3068:  18'6/253
3069. 答案3069:  101'4/15
3070. 答案3070:  90'306/3827
3071. 答案3071:  31'257/582
3072. 答案3072:  2'2/13
3073. 答案3073:  168'35/74
3074. 答案3074:  4767'9/14
3075. 答案3075:  354
3076. 答案3076:  97'423/910
3077. 答案3077:  42'48/49
3078. 答案3078:  88'61/161
3079. 答案3079:  2'381/520
3080. 答案3080:  38
3081. 答案3081:  148'2/3
3082. 答案3082:  2202'777/1408
3083. 答案3083:  3595'9/17
3084. 答案3084:  1'15/17
3085. 答案3085:  132'101/168
3086. 答案3086:  2795/157416
3087. 答案3087:  103'9/61
3088. 答案3088:  1189
3089. 答案3089:  24'80/93
3090. 答案3090:  9'35/87
3091. 答案3091:  98'49/136
3092. 答案3092:  1897'331/460
3093. 答案3093:  72'13/46
3094. 答案3094:  651'17/29
3095. 答案3095:  176'1/11
3096. 答案3096:  125438'2/5
3097. 答案3097:  416/513
3098. 答案3098:  1'2/23
3099. 答案3099:  2'5/8
3100. 答案3100:  135'6883/8370
3101. 答案3101:  2250'18/41
3102. 答案3102:  12'5/6
3103. 答案3103:  60
3104. 答案3104:  3122'16/31
3105. 答案3105:  1275'1907/2695
3106. 答案3106:  1
3107. 答案3107:  44'21/32
3108. 答案3108:  5
3109. 答案3109:  1'24/49
3110. 答案3110:  94'11/29
3111. 答案3111:  28'31/77
3112. 答案3112:  152'12/17
3113. 答案3113:  131'1/8
3114. 答案3114:  36'5/32
3115. 答案3115:  28/31
3116. 答案3116:  46
3117. 答案3117:  50'19/72
3118. 答案3118:  5
3119. 答案3119:  243858'42/43
3120. 答案3120:  18'5/6
3121. 答案3121:  30'22/29
3122. 答案3122:  2766'8/31
3123. 答案3123:  112'1/2
3124. 答案3124:  6099'2/19
3125. 答案3125:  70'6/79
3126. 答案3126:  6715
3127. 答案3127:  35'653/3360
3128. 答案3128:  60'39/365
3129. 答案3129:  6210
3130. 答案3130:  2'67/416
3131. 答案3131:  30'2/5
3132. 答案3132:  49766/95015
3133. 答案3133:  0
3134. 答案3134:  1/18
3135. 答案3135:  964'947/1036
3136. 答案3136:  17/50
3137. 答案3137:  4'288839/332748
3138. 答案3138:  67'29/32
3139. 答案3139:  4600'37/68
3140. 答案3140:  100'67/69
3141. 答案3141:  103'12627/18662
3142. 答案3142:  19318'33/95
3143. 答案3143:  41
3144. 答案3144:  106029
3145. 答案3145:  1019'2/3
3146. 答案3146:  1'1042/156655
3147. 答案3147:  98'2/11
3148. 答案3148:  0
3149. 答案3149:  65'9/22
3150. 答案3150:  1440'77/92
3151. 答案3151:  126/527
3152. 答案3152:  2580'66/581
3153. 答案3153:  27'78/781
3154. 答案3154:  84'21/53
3155. 答案3155:  4221/7081
3156. 答案3156:  267'207/415
3157. 答案3157:  49'375/514
3158. 答案3158:  62'56/71
3159. 答案3159:  138'2123/3045
3160. 答案3160:  270/557
3161. 答案3161:  33'11313/12839
3162. 答案3162:  4972'1/2
3163. 答案3163:  38'6087/10393
3164. 答案3164:  3040'11/31
3165. 答案3165:  14'5/8
3166. 答案3166:  16'32/33
3167. 答案3167:  51'113/236
3168. 答案3168:  55'253/323
3169. 答案3169:  54'2578/5775
3170. 答案3170:  228'2/3
3171. 答案3171:  76'228/4189
3172. 答案3172:  14847'2575/3876
3173. 答案3173:  9702
3174. 答案3174:  12'9209/15356
3175. 答案3175:  2'74/257
3176. 答案3176:  185'47/201
3177. 答案3177:  128'98767/478239
3178. 答案3178:  76'38871/120040
3179. 答案3179:  1'145/276
3180. 答案3180:  3'35015/46851
3181. 答案3181:  68'142966/513227
3182. 答案3182:  55'151/2322
3183. 答案3183:  33/53
3184. 答案3184:  2237'7/20
3185. 答案3185:  5236
3186. 答案3186:  1078
3187. 答案3187:  32'721/832
3188. 答案3188:  12'1/2
3189. 答案3189:  87'37/49
3190. 答案3190:  128'3/4
3191. 答案3191:  33'370/1659
3192. 答案3192:  300
3193. 答案3193:  85/743
3194. 答案3194:  1'870769/1110816
3195. 答案3195:  4139'251/1140
3196. 答案3196:  74'559/2370
3197. 答案3197:  7'34/37
3198. 答案3198:  48'5907/20770
3199. 答案3199:  126'1/9
3200. 答案3200:  2268
3201. 答案3201:  837
3202. 答案3202:  8'51/55
3203. 答案3203:  44'29/32
3204. 答案3204:  1580
3205. 答案3205:  160
3206. 答案3206:  4'4/27
3207. 答案3207:  14'3/10
3208. 答案3208:  90'680861/1027236
3209. 答案3209:  28'44193/65780
3210. 答案3210:  4307
3211. 答案3211:  1592'1083/2021
3212. 答案3212:  46'1273/278910
3213. 答案3213:  63'103089/111247
3214. 答案3214:  13
3215. 答案3215:  52'3079/10904
3216. 答案3216:  693/5561
3217. 答案3217:  47'2721/3713
3218. 答案3218:  67'788/2397
3219. 答案3219:  80'4/11
3220. 答案3220:  683'11/82
3221. 答案3221:  244'2/7
3222. 答案3222:  4462'41/64
3223. 答案3223:  40'575/1232
3224. 答案3224:  69
3225. 答案3225:  49'23/50
3226. 答案3226:  3547'3/8
3227. 答案3227:  5'15/46
3228. 答案3228:  89'7/9
3229. 答案3229:  663'4/11
3230. 答案3230:  21'430885/872176
3231. 答案3231:  36'37/69
3232. 答案3232:  19'386/567
3233. 答案3233:  442/43617
3234. 答案3234:  10'6865/11937
3235. 答案3235:  69'5/9
3236. 答案3236:  387/410
3237. 答案3237:  96'1057/2769
3238. 答案3238:  46
3239. 答案3239:  103'8639/12798
3240. 答案3240:  29'3567/254896
3241. 答案3241:  40'19/20
3242. 答案3242:  495
3243. 答案3243:  907'6/13
3244. 答案3244:  25
3245. 答案3245:  1'26/45
3246. 答案3246:  15'41/57
3247. 答案3247:  78
3248. 答案3248:  1902'3/8
3249. 答案3249:  129850/179399
3250. 答案3250:  77'1983/3290
3251. 答案3251:  12'2/29
3252. 答案3252:  60'4/23
3253. 答案3253:  62'6/7
3254. 答案3254:  4775'1/42
3255. 答案3255:  5'185/783
3256. 答案3256:  6'3/13
3257. 答案3257:  4017'1057/2623
3258. 答案3258:  166
3259. 答案3259:  109'9/13
3260. 答案3260:  4857'5042/6723
3261. 答案3261:  4299'5/6
3262. 答案3262:  113'451/898
3263. 答案3263:  605'19/22
3264. 答案3264:  2
3265. 答案3265:  86'7605/9638
3266. 答案3266:  5
3267. 答案3267:  4'18/43
3268. 答案3268:  36'19/23
3269. 答案3269:  34'21/40
3270. 答案3270:  99'929/8010
3271. 答案3271:  96'5/76
3272. 答案3272:  3660'4/5
3273. 答案3273:  31
3274. 答案3274:  5428
3275. 答案3275:  1602'594/925
3276. 答案3276:  15'44/57
3277. 答案3277:  30'2/23
3278. 答案3278:  5599'3/13
3279. 答案3279:  172'1/2
3280. 答案3280:  26/3105
3281. 答案3281:  9'31/76
3282. 答案3282:  498'185/228
3283. 答案3283:  84'44/85
3284. 答案3284:  6047'5/7
3285. 答案3285:  26251'239/416
3286. 答案3286:  46'6/37
3287. 答案3287:  1792'7/22
3288. 答案3288:  37'50/89
3289. 答案3289:  293'1/3
3290. 答案3290:  181'1/7
3291. 答案3291:  126'47/165
3292. 答案3292:  215'164/277
3293. 答案3293:  41'101/217
3294. 答案3294:  62
3295. 答案3295:  18'9/25
3296. 答案3296:  62'8/11
3297. 答案3297:  58'2/13
3298. 答案3298:  22'4/9
3299. 答案3299:  1'26/49
3300. 答案3300:  424'4/27
3301. 答案3301:  5643/14846
3302. 答案3302:  518'5/13
3303. 答案3303:  6
3304. 答案3304:  5101'15/16
3305. 答案3305:  8'1/2
3306. 答案3306:  0
3307. 答案3307:  1823
3308. 答案3308:  22'349/901
3309. 答案3309:  67'1/2
3310. 答案3310:  249412/265065
3311. 答案3311:  112'866/8385
3312. 答案3312:  1
3313. 答案3313:  741
3314. 答案3314:  26296
3315. 答案3315:  186'5/39
3316. 答案3316:  51'9/26
3317. 答案3317:  326998'31/103
3318. 答案3318:  2917'1/6
3319. 答案3319:  224'331/585
3320. 答案3320:  460
3321. 答案3321:  195'3/10
3322. 答案3322:  66'483/950
3323. 答案3323:  39'22/37
3324. 答案3324:  1705/1823
3325. 答案3325:  1'617/2720
3326. 答案3326:  3381'14/45
3327. 答案3327:  7/82
3328. 答案3328:  92
3329. 答案3329:  92'17/98
3330. 答案3330:  22'39/53
3331. 答案3331:  69433'13/20
3332. 答案3332:  540/25837
3333. 答案3333:  3339
3334. 答案3334:  42'61/225
3335. 答案3335:  94'64/779
3336. 答案3336:  155'29/52
3337. 答案3337:  1260
3338. 答案3338:  22'3/34
3339. 答案3339:  435196
3340. 答案3340:  1'143/5310
3341. 答案3341:  4'179/434
3342. 答案3342:  2157388'16/45
3343. 答案3343:  3/74
3344. 答案3344:  5'499/1995
3345. 答案3345:  99'34541/75981
3346. 答案3346:  130'26/29
3347. 答案3347:  128'10/13
3348. 答案3348:  73'2/43
3349. 答案3349:  5839'19/66
3350. 答案3350:  54'4163/5341
3351. 答案3351:  88'721/722
3352. 答案3352:  81
3353. 答案3353:  41'509/756
3354. 答案3354:  91/236
3355. 答案3355:  52'110330/213239
3356. 答案3356:  25935'11/43
3357. 答案3357:  120'9927/18172
3358. 答案3358:  96
3359. 答案3359:  9/13
